t,sensor_depth_z,sensor_depth_z_true,sensor_depth_z_bias,sensor_depth_z_noise,sensor_attitude_roll,sensor_attitude_roll_true,sensor_attitude_roll_bias,sensor_attitude_roll_noise,sensor_attitude_pitch,sensor_attitude_pitch_true,sensor_attitude_pitch_bias,sensor_attitude_pitch_noise,sensor_attitude_yaw,sensor_attitude_yaw_true,sensor_attitude_yaw_bias,sensor_attitude_yaw_noise,sensor_gyro_p,sensor_gyro_p_true,sensor_gyro_p_bias,sensor_gyro_p_noise,sensor_gyro_q,sensor_gyro_q_true,sensor_gyro_q_bias,sensor_gyro_q_noise,sensor_gyro_r,sensor_gyro_r_true,sensor_gyro_r_bias,sensor_gyro_r_noise,sensor_dvl_u,sensor_dvl_u_true,sensor_dvl_u_bias,sensor_dvl_u_noise,sensor_dvl_v,sensor_dvl_v_true,sensor_dvl_v_bias,sensor_dvl_v_noise,sensor_dvl_w,sensor_dvl_w_true,sensor_dvl_w_bias,sensor_dvl_w_noise
0.0,10.0011363457702,10.0,-0.010748366301390833,0.01188471207159045,0.000893368061619727,0.0,-0.0011105867031148474,0.0020039547647345743,0.008489237192353281,0.0,0.00011162871187435136,0.00837760848047893,0.02906333365704014,0.0,0.003534944570134827,0.025528389086905315,0.002682466317973321,0.0,0.00027868150664405096,0.0024037848113292698,-0.002790216398335552,0.0,0.0001325299622491251,-0.002922746360584677,0.001382834218563641,0.0,-0.000677787816922016,0.002060622035485657,0.005599130371414598,0.0,0.0068733103943305045,-0.0012741800229159068,-0.011242824633143883,0.0,-0.009869456699525898,-0.0013733679336179858,-0.03729849219041745,0.0,-0.004196408858150414,-0.03310208333226703
0.03,,,,,-0.002179727137075327,-1.5124684999978655e-05,-0.0011105867031148474,-0.0010540157489605008,-0.005378418221637689,-0.0007744202932715716,0.00011162871187435136,-0.004715626640240469,0.005185595030975099,0.004032258172760983,0.003534944570134827,-0.0023816077119207103,-0.0005936893412666099,-0.0009395540713502045,0.00027868150664405096,6.71832234395436e-05,-0.031218097541629845,-0.028387979828220295,0.0001325299622491251,-0.0029626476756586745,0.2497304628796039,0.2535300751860242,-0.000677787816922016,-0.0031218244894983065,,,,,,,,,,,,
0.06,10.000979368309403,10.000016424846148,-0.010748366301390833,0.011711309764646207,-0.003000024627269027,0.00016167692978719117,-0.0011105867031148474,-0.002051114853941371,0.0019421005826532407,-0.001213799690651829,0.00011162871187435136,0.003044271561430718,0.019636968441932908,0.014434470466872629,0.003534944570134827,0.0016675534049254538,0.018118621558916213,0.009378147997462206,0.00027868150664405096,0.008461792054809954,-0.017615308714192833,-0.010565012760356467,0.0001325299622491251,-0.007182825916085492,0.42570920255826605,0.42895203757133515,-0.000677787816922016,-0.002565047196147112,,,,,,,,,,,,
0.09,,,,,-0.0004435495552673948,0.0003749186206638555,-0.0011105867031148474,0.0002921185271835971,-0.009719139124105125,-0.0020546601935542697,0.00011162871187435136,-0.007776107642425207,0.03175721183620856,0.029218266394892112,0.003534944570134827,-0.0009959991288183779,0.012542933898801857,0.006199357551379283,0.00027868150664405096,0.006064894840778523,-0.019374580188235565,-0.028529244589305502,0.0001325299622491251,0.009022134438820814,0.5464108501792859,0.5489292131829376,-0.000677787816922016,-0.001840575186729637,,,,,,,,,,,,
0.12,9.990585100459574,10.00006530374223,-0.010748366301390833,0.0012681630187348864,0.0004637499674230714,0.0005247540129733608,-0.0011105867031148474,0.001049582657564558,0.0013280160207933185,-0.0030665012652830725,0.00011162871187435136,0.0042828885742020395,0.04645949754635618,0.04697140417292722,0.003534944570134827,-0.00404685119670587,0.0009977710187294396,0.006028092004970459,0.00027868150664405096,-0.00530900249288507,-0.028431699858508564,-0.031164988020646284,0.0001325299622491251,0.0026007581998885973,0.6310550264732879,0.6293719709387401,-0.000677787816922016,0.0023608433514698624,0.003023831862556234,0.008488023611281679,0.0068733103943305045,-0.01233750214305595,0.014651100348775297,0.0027958378479647395,-0.009869456699525898,0.021724719200336456,-0.03579284895997807,0.0007608956964154669,-0.004196408858150414,-0.032357335798243125
0.15,10.021599380273774,10.000096111124902,-0.010748366301390833,0.03225163545026159,3.160703415701631e-05,0.0005221876567382822,-0.0011105867031148474,0.0006200060805335815,-0.001372797562026156,-0.0035413576259366586,0.00011162871187435136,0.0020569313520361512,0.07538999645971946,0.06675868484178782,0.003534944570134827,0.005096367047796815,-0.0009489866703307102,0.0006458425953636392,0.00027868150664405096,-0.0018735107723384004,-0.007484778741200792,-0.01065238851005728,0.0001325299622491251,0.003035079806607363,0.6832047493280253,0.6860317033064138,-0.000677787816922016,-0.0021491661614664722,,,,,,,,,,,,
0.18,,,,,-0.00047299163271129305,0.0004446482180191502,-0.0011105867031148474,0.00019294685238440413,0.0013027446852725308,-0.003801499865357716,0.00011162871187435136,0.004992615838755895,0.09708448385563657,0.08791352605267067,0.003534944570134827,0.005636013232831084,0.006132550643667437,-0.0001543904190052565,0.00027868150664405096,0.006008259556028643,-0.0021487419941897358,-0.006936408211956556,0.0001325299622491251,0.004655136255517695,0.7195287947373964,0.7218943481611001,-0.000677787816922016,-0.0016877656067816656,,,,,,,,,,,,
0.21,9.992594381025018,10.000177123698165,-0.010748366301390833,0.0031656236282435486,0.001144813721397281,0.00027149864237241417,-0.0011105867031148474,0.0019839017821397143,-0.003221810672081786,-0.004161313206882511,0.00011162871187435136,0.000827873822926374,0.09568136824657278,0.10997949483373892,0.003534944570134827,-0.017833071157300977,-0.006036211567818266,-0.004034534508453932,0.00027868150664405096,-0.0022803585660083844,-0.016107223990978702,-0.011391539390362606,0.0001325299622491251,-0.004848214562865222,0.7449923778334367,0.7474522208510914,-0.000677787816922016,-0.0017820552007326216,0.00503096645027816,0.008662225931487452,0.0068733103943305045,-0.010504569875539797,-0.010228904262576756,0.003104770517633521,-0.009869456699525898,-0.003464218080684379,0.003301551213225254,0.0015062442949569596,-0.004196408858150414,0.005991715776418709
0.24,,,,,0.009345941342147236,0.0001088308062047183,-0.0011105867031148474,0.010347697239057365,-0.0035233808968896533,-0.004577856839540484,0.00011162871187435136,0.0009428472307764795,0.14098412467064528,0.13267941206654665,0.003534944570134827,0.004769768033963789,-0.004130460669989784,-0.0010748321529586036,0.00027868150664405096,-0.003334310023675231,-0.005013344501856957,-0.01287925033961745,0.0001325299622491251,0.007733375875511368,0.7645513798988177,0.7647045427163943,-0.000677787816922016,0.0005246249993454522,,,,,,,,,,,,
0.27,9.978523282211397,10.000268843610053,-0.010748366301390833,-0.010997195097266342,0.004680074780656745,-6.392206706662407e-05,-0.0011105867031148474,0.005854583550838217,0.000415450241075894,-0.004911191773789625,0.00011162871187435136,0.005215013302991168,0.15590281929026073,0.15581808009279863,0.003534944570134827,-0.0034502053726727256,-0.0017262896656563683,-0.002261051843255546,0.00027868150664405096,0.00025608067095512707,-0.010435702350048658,-0.0095595052042155,0.0001325299622491251,-0.0010087271080822834,0.7755792932773738,0.7770245925488658,-0.000677787816922016,-0.0007675114545698488,,,,,,,,,,,,
